08023,46633,51.9
08025,50640,35.4
08027,64037,59.7
08029,65899,47.3
08031,99151,34.5
08033,62136,48.8
08035,147010,38.7
08037,118174,37
08039,121995,46.1
08041,88333,34.2
08043,64506,45.1
08045,90090,36.5
08047,103719,49
08049,86284,42.9
08051,77389,34.5
08053,74731,56.1
08055,50466,55
08057,64192,51.6
08059,107456,40.3
08061,59705,42.5
08063,69660,38.3
08065,64892,36.7
08067,94761,40.4
08069,93301,36
08071,56571,45.9
08073,66203,38
08075,64895,38.2
08077,71408,39.7
08079,74266,56.1
08081,70569,36.6
08083,61197,45.2
08085,66576,45.2
08087,64702,36.2
08089,49140,39.9
08091,89953,54.1
08093,88346,50.7
08095,65218,37.1
08097,123052,41.8
08099,57202,38.3
08101,62799,39.3
08103,68199,36.9
08105,57761,42.1
08107,106451,40.2
08109,51603,49
08111,68152,51.2
08113,103024,41.8
08115,64634,44.1
08117,101084,39.1
08119,84460,50
08121,66293,41.6
08123,89427,34.4
08125,68157,37.8
09001,155154,40.6
09003,100938,40.4
09005,107239,47.3
09007,110132,45.7
09009,94740,40.3
09011,95858,41.4
09013,109723,37.7
09015,82196,41.2
10001,75577,37.7
10003,97068,38.4
10005,84849,49.6
11001,127890,34
12001,71857,31.6
12003,74509,37.7
12005,71507,39.8
12007,57585,39.7
12009,77091,47.3
12011,85851,40.4
12013,53097,41.6
12015,71130,59.1
12017,58601,56.5
12019,82908,39.7
12021,112784,50.8
12023,63704,40.4
12027,49625,40.9
12029,56035,46.5
12031,77522,36.2
12033,68758,37.2
12035,71667,51.3
12037,68529,46.4
12039,53811,40.8
12041,56762,42.1
12043,55963,47.9
12045,61039,44.9
12047,51642,40.9
12049,53433,35.4
12051,56396,34
12053,62158,49
12055,59208,53.5
12057,83104,37.2
12059,51489,42.7
12061,87526,53.5
12063,53662,41.7
12065,62304,48
12067,57595,37.3
12069,69788,46.9
12071,82544,48.5
12073,75693,31
12075,49934,46.9
12077,50919,40.7
12079,51664,43.5
12081,83097,48.3
12083,62048,48.7
12085,98131,52.2
12086,79100,39.9
12087,104034,47.7
12089,92133,45.3
12091,82171,36.9
12093,58238,41.1
12095,83706,35.1
12097,66856,35.9
12099,99173,44.8
12101,71321,44.5
12103,78424,48.1
12105,66810,40.2
12107,50838,45.1
12109,113475,43.7
12111,68673,45.1
12113,84311,39.9
12115,90170,56.1
12117,90193,39.2
12119,74605,67.4
12121,61690,43.3
12123,50152,42
12125,64521,39.3
12127,67025,46.6
12129,73794,40.6
12131,83745,44
12133,48972,41.5
13001,54634,40.3
13003,54979,36.4
13005,53187,36.7
13007,47336,46.1
13009,56958,35.5
13011,56327,41.1
13013,72722,35.7
13015,71769,38.1
13017,43566,39.9
13019,49598,39.6
13021,63566,36.4
13023,56095,35.8
13025,51349,41.1
13027,60621,42
13029,88173,34.6
13031,60741,28.8
13033,59197,37.4
13035,72157,38.6
13037,47870,39.6
13039,76395,32.8
13043,52898,38.7
13045,68005,34.8
13047,70444,40.4
13049,52464,41.2
13051,80665,35.6
13053,64522,24.5
13055,48964,39.4
13057,100628,38.7
13059,59404,28
13061,37701,49.8
13063,58950,32.5
13065,39016,39.9
13067,104969,36.7
13069,54717,36.3
13071,55000,36.8
13073,101299,36.9
13075,52709,37.3
13077,91203,39
13079,59937,44.4
13081,56889,38.5
13083,61540,42.6
13085,90106,43.6
13087,56046,37.8
13089,91259,35.8
